run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__novel_generalization__s1,lichess_top3,inr_diffusion_history_conditioned,novel_generalization,1,0.42727905358385526,0.6382536382536382,0.34794711203897005,0.6499652052887961,0.22934560477733612,nan,nan,nan,,0.0008363270038585087,0.0,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_history_conditioned__no_shift__s1,dmlab_seekavoid,inr_transformer_history_conditioned,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.6518518518518519,0.9281744554307726,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__conflation__s0,lichess_top3,inr_transformer_fitted_latent,conflation,0,0.7057971014492753,0.7057971014492753,0.7347826086956522,0.8855072463768116,nan,nan,nan,nan,,0.1922276511038726,4.749002200557062,1.0,,3217,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__generalization__s0,lichess_top3,inr_transformer_history_conditioned,generalization,0,0.5904365904365905,0.5904365904365905,0.5301455301455301,0.9677754677754677,nan,nan,nan,nan,,0.0710965888284837,5.75286165326989,1.0,,1924,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__new_policy__s0,lichess_top3,cvae,new_policy,0,0.5434933890048712,0.8118503118503119,0.5483646485734168,0.6506610995128741,9.514360427856445,nan,nan,nan,,0.15413448000304425,4.8452953560865195,1.0,,4490,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_diffusion_history_conditioned__specialization__s1,dmlab_seekavoid,inr_diffusion_history_conditioned,specialization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.1648148148148148,0.0,1.0,,84,18,18,18
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__no_shift__s1,dmlab_seekavoid,inr_transformer_fitted_latent,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5653703703703704,1.1710647809063948,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__no_shift__s0,dmlab_seekavoid,cvae,no_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.6205555555555555,0.9731410556369358,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__single_shift__s0,dmlab_seekavoid,cvae,single_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.44907407407407407,1.8917294707121672,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__no_shift__s0,lichess_top3,cvae,no_shift,0,0.8118503118503119,0.8118503118503119,0.8191268191268192,0.9719334719334719,nan,nan,nan,nan,,0.1714317906537844,4.7179349371320525,1.0,,4490,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__conflation__s0,dmlab_seekavoid,inr_transformer_fitted_latent,conflation,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4640740740740741,1.6140742831759982,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__no_shift__s1,dmlab_seekavoid,cvae,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5974074074074074,1.0467823452419704,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__single_shift__s0,lichess_top3,inr_transformer_history_conditioned,single_shift,0,0.6811594202898551,0.6811594202898551,0.5956521739130435,0.9565217391304348,nan,nan,nan,nan,,0.20860477741585234,4.438675004073429,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__no_shift__s1,lichess_top3,inr_transformer_fitted_latent,no_shift,1,0.6715176715176715,0.6715176715176715,0.5831600831600832,0.9532224532224532,nan,nan,nan,nan,,0.23006421317643067,4.300247747899248,1.0,,4490,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__specialization__s1,dmlab_seekavoid,inr_transformer_fitted_latent,specialization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.2790740740740741,2.50348962854456,1.0,,84,18,18,18
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_history_conditioned__conflation__s0,dmlab_seekavoid,inr_transformer_history_conditioned,conflation,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5227777777777778,1.4267885787398726,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__generalization__s0,lichess_top3,cvae,generalization,0,0.5873180873180873,0.5873180873180873,0.5291060291060291,0.9594594594594594,nan,nan,nan,nan,,0.041942480493507225,6.0005643375087585,1.0,,1924,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_history_conditioned__single_shift__s0,dmlab_seekavoid,inr_transformer_history_conditioned,single_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4738888888888889,1.7118360335738572,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__no_shift__s0,lichess_top3,inr_transformer_history_conditioned,no_shift,0,0.682952182952183,0.682952182952183,0.6143451143451143,0.9345114345114345,nan,nan,nan,nan,,0.23103574547195854,4.221006473216644,1.0,,4490,962,962,0
