run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_walker2d__inr_diffusion_history_conditioned__new_policy__s0,custom_mujoco_action_resampled_v3_walker2d,inr_diffusion_history_conditioned,new_policy,0,0.6666666666666666,1.0,2.1928391456604004,1.187713861465454,1.2296429381587315,1.0179997682571411,1.0898228578376643,,,1.0,0.9659014211425782,358,117,117,0
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_ant__inr_diffusion_history_conditioned__single_shift__s1,custom_mujoco_action_resampled_v3_ant,inr_diffusion_history_conditioned,single_shift,1,0.9137931034482759,0.9137931034482759,nan,0.8006102442741394,1.0763684231494395,0.6650233864784241,0.8947682628894139,,,1.0,0.7438068853149414,358,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_halfcheetah__cvae__single_shift__s0,custom_mujoco_action_resampled_v3_halfcheetah,cvae,single_shift,0,1.0,1.0,nan,0.5094221830368042,0.4558911682985769,0.10783036798238754,0.7137381754094454,,,1.0,1.1174206004867553,358,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_halfcheetah__cvae__conflation__s1,custom_mujoco_action_resampled_v3_halfcheetah,cvae,conflation,1,1.0,1.0,nan,0.3333013951778412,0.32805233642626935,0.018901392817497253,0.5773226092730487,,,1.0,1.016000674797058,269,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_halfcheetah__inr_transformer_fitted_latent__single_shift__s1,custom_mujoco_action_resampled_v3_halfcheetah,inr_transformer_fitted_latent,single_shift,1,0.6724137931034483,0.6724137931034483,nan,0.48908182978630066,0.4376882165706034,0.1571197211742401,0.6993438566158287,,,1.0,1.1174206004867553,358,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_halfcheetah__cvae__specialization__s0,custom_mujoco_action_resampled_v3_halfcheetah,cvae,specialization,0,1.0,1.0,nan,0.5538644790649414,0.4940419496614016,0.3669719994068146,0.7442207193198409,,,1.0,1.1210879550704955,358,38,38,38
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_humanoid__inr_diffusion_history_conditioned__single_shift__s0,custom_mujoco_action_resampled_v3_humanoid,inr_diffusion_history_conditioned,single_shift,0,1.0,1.0,nan,0.8288707137107849,0.9141474265238347,0.750002920627594,0.9104233705868852,,,1.0,0.9067144857177735,358,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_hopper__inr_transformer_history_conditioned__generalization__s1,custom_mujoco_action_resampled_v3_hopper,inr_transformer_history_conditioned,generalization,1,1.0,1.0,nan,0.6556994915008545,0.6273654359007879,0.45489946007728577,0.8097527347905992,,,1.0,1.045163558555603,180,78,78,0
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_hopper__inr_diffusion_history_conditioned__single_shift__s0,custom_mujoco_action_resampled_v3_hopper,inr_diffusion_history_conditioned,single_shift,0,1.0,1.0,nan,0.5866462588310242,0.5563799135919583,0.30445829033851624,0.7659283640334937,,,1.0,1.054398702217102,358,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_humanoid__inr_transformer_history_conditioned__generalization__s0,custom_mujoco_action_resampled_v3_humanoid,inr_transformer_history_conditioned,generalization,0,1.0,1.0,nan,0.6885082125663757,0.5103029211606118,0.47124990820884705,0.8297639499076684,,,1.0,1.3492147193679809,180,78,78,0
